+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[488][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[613][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1166][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[231][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1898][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[695][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1467][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[659][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[646][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                        cpu0/ctrl_branch_/bht_reg[51][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[415][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[268][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[235][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1106][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[549][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[628][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[624][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[634][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[209][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[229][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                       cpu0/ctrl_branch_/bht_reg[410][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1131][0]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1976][1]/D|
|     clk_out1_clk_wiz_0_1 |       clk_out1_clk_wiz_0 |                                                                      cpu0/ctrl_branch_/bht_reg[1116][0]/D|
